Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Eagles,628,432,78.0,196.0,18,5
Patriots,665,497,70.0,168.0,16,7
Jaguars,567,404,61.0,163.0,14,9
Ravens,476,335,65.0,141.0,13,7
Saints,556,422,64.0,134.0,14,8
Rams,557,431,62.0,126.0,13,8
Steelers,517,411,76.0,106.0,16,5
Chiefs,526,432,56.99999999999999,94.0,12,9
Seahawks,477,388,65.0,89.0,13,7
Vikings,489,405,73.0,84.0,16,6
Lions,495,449,55.00000000000001,46.0,11,9
Chargers,413,375,50.0,38.0,10,10
Panthers,481,449,62.0,32.0,13,8
Cowboys,432,402,60.0,30.0,12,8
Falcons,443,420,50.0,23.0,11,11
Packers,406,440,50.0,-34.0,10,10
Broncos,396,432,45.0,-36.0,9,11
49ers,426,478,40.0,-52.0,8,12
Redskins,398,459,45.0,-61.0,9,11
Buccaneers,378,439,30.0,-61.0,6,14
Bills,367,436,48.0,-69.0,10,11
Bengals,348,421,40.0,-73.0,8,12
Bears,324,399,35.0,-75.0,7,13
Titans,420,495,50.0,-75.0,11,11
Cardinals,382,459,48.0,-77.0,10,11
Jets,358,443,35.0,-85.0,7,13
Raiders,365,458,30.0,-93.0,6,14
Texans,382,499,26.0,-117.0,5,14
Dolphins,372,491,40.0,-119.0,8,12
Browns,302,439,20.0,-137.0,4,16
Giants,336,487,25.0,-151.0,5,15
Colts,318,473,30.0,-155.0,6,14
